epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.8592,0.5609,0.7205,0.5887,9.99e-04,292.9
2,0.7533,0.6697,0.7033,0.6637,9.97e-04,285.9
3,0.6544,0.7272,0.7213,0.6450,9.94e-04,286.0
4,0.6249,0.7419,0.6051,0.6562,9.89e-04,296.2
5,0.6289,0.7306,0.8270,0.6425,9.83e-04,288.0
6,0.6034,0.7503,0.6762,0.6587,9.76e-04,289.2
7,0.5203,0.7822,0.6905,0.6687,9.67e-04,292.2
8,0.5166,0.7937,0.6184,0.7163,9.57e-04,277.4
9,0.5086,0.7903,0.6632,0.6500,9.46e-04,285.5
10,0.4835,0.8131,0.6376,0.6775,9.33e-04,287.7
11,0.4128,0.8434,0.8595,0.6462,9.19e-04,299.8
12,0.4339,0.8272,0.5534,0.7475,9.05e-04,285.4
13,0.4012,0.8459,0.5116,0.7488,8.89e-04,286.3
14,0.3512,0.8750,0.5481,0.7412,8.72e-04,289.9
15,0.3732,0.8528,0.6223,0.7450,8.54e-04,282.0
16,0.3429,0.8741,0.6115,0.7300,8.35e-04,291.0
17,0.3327,0.8750,0.5454,0.7450,8.15e-04,288.0
18,0.3135,0.8728,0.5771,0.7512,7.94e-04,290.0
19,0.3279,0.8772,0.5487,0.7375,7.72e-04,290.6
20,0.3004,0.8816,0.6692,0.7163,7.50e-04,290.4
21,0.2847,0.8956,0.5950,0.7500,7.27e-04,286.4
22,0.2852,0.8884,0.5415,0.7512,7.03e-04,291.3
23,0.2942,0.8909,0.6127,0.7200,6.79e-04,304.1
24,0.2439,0.9144,0.6385,0.7063,6.55e-04,286.2
25,0.2378,0.9172,0.5886,0.7288,6.29e-04,283.1
26,0.2389,0.9125,0.5666,0.7500,6.04e-04,290.1
27,0.2442,0.9059,0.5959,0.7438,5.78e-04,292.6
28,0.2316,0.9178,0.5842,0.7438,5.52e-04,289.6
29,0.2337,0.9134,0.5743,0.7362,5.26e-04,296.2
30,0.2207,0.9197,0.6067,0.7375,5.00e-04,290.3
31,0.2410,0.9094,0.6224,0.7450,4.74e-04,307.5
32,0.2159,0.9250,0.5655,0.7525,4.48e-04,285.9
33,0.2165,0.9172,0.6228,0.7588,4.22e-04,288.3
34,0.2005,0.9291,0.5852,0.7450,3.96e-04,291.1
35,0.1899,0.9309,0.5998,0.7450,3.71e-04,283.3
36,0.1950,0.9313,0.6133,0.7512,3.45e-04,291.8
37,0.1943,0.9272,0.6092,0.7312,3.21e-04,288.6
38,0.1912,0.9369,0.6015,0.7388,2.97e-04,288.6
39,0.1896,0.9284,0.6215,0.7312,2.73e-04,286.2
40,0.1850,0.9347,0.6157,0.7462,2.50e-04,286.5
41,0.1698,0.9425,0.6677,0.7362,2.28e-04,300.7
42,0.1690,0.9391,0.6293,0.7350,2.06e-04,281.0
43,0.1823,0.9347,0.6249,0.7462,1.85e-04,290.8
44,0.1729,0.9391,0.6189,0.7438,1.65e-04,287.3
45,0.1539,0.9484,0.6494,0.7425,1.46e-04,287.3
46,0.1499,0.9516,0.5960,0.7588,1.28e-04,282.9
47,0.1502,0.9459,0.6069,0.7538,1.11e-04,291.9
48,0.1474,0.9544,0.6143,0.7462,9.55e-05,287.0
